year,H1N1,H2N2,H3N2,source
1918,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1919,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1920,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1921,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1922,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1923,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1924,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1925,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1926,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1927,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1928,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1929,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1930,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1931,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1932,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1933,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1934,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
1935,1,0,0,"assumed pandemic strain only, https://www.cdc.gov/flu/pandemic-resources/basics/past-pandemics.html"
