Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,,,No.ofInfluenzaSpecimens,,,No.ofRSVSpecimens,
Season,"Specimens
Tested","A(H1N1)
PositiveIsolates","A(H3N2)
PositiveIsolates","BPositive
Isolates","TotalPositive
Isolates","Specimens
Tested","Total
PositiveTests"
1976-1977,17600,3,212,633,848,NA,NA
1977-1978,18727,311,1617,5,1933,NA,NA
1978-1979,13275,1140,1,21,1162,NA,NA
1979-1980,15195,20,17,1298,1335,NA,NA
1980-1981,16128,315,1125,1,1441,NA,NA
1981-1982,14804,143,0,461,604,NA,NA
1982-1983,16929,165,1263,160,1588,NA,NA
1983-1984,16111,1059,79,937,2075,NA,NA
1984-1985,15355,2,1977,53,2032,NA,NA
1985-1986,20234,2,554,1789,2345,NA,NA
1986-1987,22056,2206,5,11,2222,NA,NA
1987-1988,26258,167,1776,354,2297,NA,NA
1988-1989,29357,2234,359,2530,5123,NA,NA
1989-1990,29956,46,3342,13,3401,NA,NA
1990-1991,32420,179,271,2732,3182,67374,11449
1991-1992,38557,1055,4854,47,5956,100867,18586
1992-1993,36233,132,1126,3081,4339,98203,14335
1993-1994,35597,22,4193,35,4250,104028,18047
1994-1995,38705,62,2819,1005,3886,107528,17445
1995-1996,37612,2357,1650,716,4723,111318,19745
1996-1997,39183,0,5047,1449,6496,117814,17370
1997-1998,46413,14,7838,53,7905,133648,19589
1998-1999,52505,50,6732,2286,9068,128621,18418
Mean(SD),27360(11551),508(779),2037(2277),855(998),3400(2290),107711(19374),17220(2685)
